# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.000000,0.958926,-0.000000,0.000000,-0.000000,-0.000000,-3.339207,4.512518,-1.612617,0.236816,0.000000,0.000000,0.000000,0.000000,8.028693,-11.871394,4.519677,0.055055,0.000000,-0.000000,0.000000,0.000000,1.167048,-1.568385,0.552032,2.385117,-0.000000,0.000000,0.000000,0.000000,91.716814,-134.528222,51.169747
1.000000,0.519620,-0.909243,0.430750,0.416707,-5.449848,8.918045,-5.607193,1.255868,0.913793,0.552845,-2.870750,1.047763,20.261265,-43.092712,32.799310,-8.708056,0.205749,0.289149,-0.262634,-0.376115,1.630574,-1.635784,0.610051,-0.059678,10.743456,9.602970,-26.190494,17.544859,231.601898,-531.887107,426.827209,-118.455228
1.000000,-0.425295,-0.858874,0.427559,-0.390725,-1.012146,3.153444,-2.568195,0.682101,0.903459,-0.624397,0.033481,2.369937,-7.994611,8.615960,-3.621917,0.445894,0.401312,0.221471,-0.067847,-0.099364,0.513695,-0.633187,0.323757,-0.059737,19.787564,8.605277,12.032756,15.692593,-171.358471,317.967420,-234.954091,62.315821
1.000000,-0.992129,-0.091751,0.518160,-0.395214,0.105700,0.940955,-1.070143,0.331565,0.127805,-0.956512,0.370245,-0.280958,-3.637278,8.459893,-6.593156,1.755542,0.600099,0.200908,-0.013772,0.007875,0.113305,-0.244239,0.182802,-0.047040,30.088867,10.637979,-5.045223,-8.095183,75.220995,-134.686896,97.070306,-25.217686
1.000000,-0.652856,0.786605,0.287002,-0.360928,0.363124,0.087044,-0.375595,0.151292,-0.754419,-0.578686,0.271676,-0.650284,1.208825,0.611773,-1.776989,0.719510,0.799938,0.196546,0.001484,0.028347,-0.012258,-0.082969,0.102403,-0.033748,39.973160,9.609525,1.609438,4.706969,-24.777886,35.415291,-21.134843,4.584474
1.000000,0.285687,0.971010,-0.203400,-0.254683,0.459632,-0.371706,0.036371,0.039641,-0.948593,0.282617,0.146386,-0.054171,2.795718,-4.925049,3.082638,-0.654895,0.999742,0.198860,0.010629,0.016516,-0.072226,0.018005,0.057295,-0.030135,49.986129,10.196483,0.467254,-2.491931,-4.267487,20.684564,-21.666828,7.112401
1.000000,0.962552,0.275872,-0.548693,-0.018365,0.534097,-0.858084,0.500446,-0.092799,-0.275349,0.882066,-0.005536,0.609641,1.488712,-6.167951,5.896528,-1.783231,1.198685,0.203612,0.033463,-0.001163,-0.177504,0.133339,0.055708,-0.049915,60.020585,9.793907,-1.409824,2.881231,23.086943,-71.252129,68.675827,-21.862100
1.000000,0.755027,-0.677555,-0.422131,0.298142,0.502405,-1.618079,1.399487,-0.387270,0.644879,0.711559,0.076218,0.402456,-3.316205,2.906399,0.193079,-0.635321,1.396224,0.208567,0.085738,-0.010664,-0.422222,0.334469,0.111705,-0.111934,69.934441,10.725346,4.267554,-8.949231,-68.209783,207.508114,-196.685164,61.639094
1.000000,-0.149974,-1.022135,0.165566,0.562256,-0.150138,-2.341536,3.106891,-1.100500,0.983063,0.049761,0.004783,-2.173037,-8.124268,29.129972,-28.073018,8.685946,1.591883,0.218203,0.190073,-0.038440,-0.991980,0.912809,0.134186,-0.231219,80.230372,8.476877,-12.614175,16.957798,176.421629,-472.894038,414.564095,-121.894767
1.000000,-0.929569,-0.374619,1.029012,0.166663,-3.771955,5.460514,-3.230673,0.712271,0.483204,-0.943479,-2.650620,-0.822643,20.438425,-32.657786,20.559260,-4.729669,1.785515,0.265736,0.408153,-0.287214,-2.507807,4.622885,-3.060758,0.722993,89.247791,9.459451,26.519940,18.669004,-235.903967,364.502992,-226.694413,51.823006
